     TableName				     Column Name				Nullable		Datatype		Primarykey		Foreign key		comments				
CAAS_INVENTORY_TAB				CIT_SNO				NOTNULL		INTEGER		Yes								
				CIT_TYPE				-		TEXT		-								
				CIT_APP_ONBOARD_DATE				-		TIMESTAMP		-								
				CIT_APP_STATUS				-		TEXT		-								
				CIT_ITAM-NO				-		TEXT		-								
				CIT_APP_OWNER				-		TEXT		-								
				CIT_BUS_CRITICALLITY				-		TEXT		-								
				CIT_BUS_UNIT				-		TEXT		-								
				CIT_PRI_CONTACT				-		TEXT		-								
				CIT _REM_GROUP				-		TEXT		-								
				CIT_SEC_CONTACT				-		TEXT		-								
				CIT_SERVICE_PROVIDED				-		TEXT		-								
				CIT_SERVICE_MODEL				-		TEXT		-								
				CIT_USE_CASE				-		TEXT		-								
				CIT_USECASE_OTHERS				-		TEXT		-								
				CIT_DATABASE				-		TEXT		-								
				CIT_DB_OTHERS				-		TEXT		-								
				CIT_DB_HOSTED_TYPE				-		TEXT		-								
				CIT_STORAGE_OTHERS				-		TEXT		-								
				CIT_BUSS_JUSTIFICATION				-		TEXT		-								
				CIT_TYPE_PR_NONPR				-		TEXT		-								
				CIT_REQ_NO				-		TEXT		-								
				CIT_ACTIVITY				-		TEXT		-								
				CIT_AMENDED_DATE				-		TIMESTAMP		-								
				CIT_AMENDED_BY				-		TEXT		-								
				CIT_REMARKS				-		TEXT		-								
				CIT_ENT_SPOC				-		TEXT		-								
				CIT_PROD_DATE				-		TIMESTAMP		-								
				CIT_PROD_CR_NO				-		TEXT		-								
				CIT_CREATED_BY				-		TEXT		-								
				CIT_CREATED_DATE				-		TIMESTAMP		-								
				CIT_MODIFIED_BY				-		TEXT		-								
				CIT_MODIFIED_DATE				-		TIMESTAMP		-								
				CIT_COUNTRY				-		TEXT		-								
				CIT_SBIA_RATING				-		TEXT		-								
				CIT_HSM_IP1				-		TEXT		-								
				CIT_HSM_IP2				-		TEXT		-								
				CIT_HSM_IP3				-		TEXT		-								
				CIT_APPLICATION_NAME				-		TEXT		-								
				CIT_RO_ACCESS				-		TEXT		-								
				CIT_QUORUM_APPROVER				-		TEXT		-								
				CIT_CAAS_OWNER				-		TEXT		-								
				CIT_INTEG_VERSION				-		TEXT		-								
				CIT_APP_GRP				-		TEXT		-								
				CIT_DATABASE_TYPE				-		TEXT		-								
				CIT_ENCRYPT_FILEACCESS				-		TEXT		-								
				CIT_ENCRYPT_USER				-		TEXT		-								
				CIT_ENCRYPT_PROCESS				-		TEXT		-								
				CIT_ENCRYPT_TIME				-		TEXT		-								
				CIT_ENCRYPT_PROCESS				-		TEXT		-								
				CIT_ENCRYPT_TIME				-		TEXT		-								
				CIT_ENCRYPT_RESOURCE				-		TEXT		-								
				THALES_VTE_METHOD				-		TEXT		-								
				ONBOARDCHKLIST_MIME_TY				-		TEXT		-								
				ONBOARDCHKLIST_FNAME				-		TEXT		-								
				ONBOARDCHKLIST_FILE				-		BLOB		-								
				APPTEAM_NONPRODSIGN_MIME_TY				-		TEXT		-								
				APPTEAM_NONPRODSIGN_FNAME				-		TEXT		-								
				APPTEAM_NONPRODSIGN_FILE				-		BLOB		-								
				AIG_MIME_TY				-		TEXT		-								
				AIG_FNAME				-		TEXT		-								
				AIG_FILE				-		BLOB		-								
				IMLYPLAN_MIME_TY				-		TEXT		-								
				IMPLYPLAN_FNAME				-		TEXT		-								
				IMLYPLAN_FILE				-		BLOB		-								
				APPTEAM_PRODSIGN_MIME_TY				-		TEXT		-								
				APPTEAM_PRODSIGN_FNAME				-		TEXT		-								
				APPTEAM_PRODSIGN_FILE				-		BLOB		-								
				LM_PRYSPOC				-		INTEGER		-								
				LM_SECPOC				-		INTEGER		-								
				LM_APPOWNER				-		INTEGER		-								
				RECERT_DATE				-		TIMESTAMP		-								
				RECERT_BY				-		TEXT		-								
				RECERT_APP_TEAM_CMTS				-		TEXT		-								
				RECERT_APP_STATUS				-		TEXT		-								
				RECERT_APP_TEAM_BY				-		TEXT		-								
				RECERT_APP_TEAM_DATE				-		TIMESTAMP		-								
				APP_PREV_RECERT_DATE				-		TIMESTAMP		-								
				APP_PREV_RECERT_BY				-		TEXT		-								
				RECERT_APP_RENEWAL_DATE				-		TIMESTAMP		-								
				RECERT_APP_RENEWAL_MONTH				-		INTEGER		-								
				CIT_SERVICE_MODEL_OTHERS				-		TEXT		-								
CAAS_INV_KEY_DET				CKID_SNO				NOTNULL		INTEGER		Yes								
				CKID_HSNO				-		INTEGER		-								
				CKID_TYPE				-		TEXT		-								
				CKID_KEY_ALGORITHM				-		TEXT		-								
				CKID_KEY_ALGORITHM_OTHERS				-		TEXT		-								
				CKID_KEY_NAME				-		TEXT		-								
				CKID_KEY_GEN_DATE				-		TIMESTAMP		-								
				CKID_EXPIRY_DATE				-		TIMESTAMP		-								
				CKID_RENEWAL_DATE				-		TIMESTAMP		-								
				CKID_KEY_STATUS				-		TEXT		-								
				CKID_DECOM_DATE				-		TIMESTAMP		-								
				CKID_KEY_RENEWAL_REASON				-		TEXT		-								
				CKID_KEY_ALERT				-		TEXT		-								
				CKID_RENEWAL_DATE1				-		TIMESTAMP		-								
				CKID_RENEWAL_DATE2				-		TIMESTAMP		-								
				CKID_RENEWAL_DATE3				-		TIMESTAMP		-								
